sh601288	农业银行
sh601169	北京银行
sh601988	中国银行
sh601328	交通银行
sz002594	比亚迪
sh601998	中信银行
sh601800	中国交建
sh601939	建设银行
sh601818	光大银行
sh601628	中国人寿
sh600036	招商银行
sz001979	招商蛇口
sh600016	民生银行
sh601985	中国核电
sh601601	中国太保
sh600028	中国石化
sh601186	中国铁建
sh601390	中国中铁
sh601088	中国神华
sh601989	中国重工
sh601668	中国建筑
sh600030	中信证券
sh601766	中国中车
sh601006	大秦铁路
sz002027	分众传媒
sz000776	广发证券
sh600606	绿地控股
sh601238	广汽集团
sz002736	国信证券
sh601211	国泰君安
sh600837	海通证券
sz002415	海康威视
sh600011	华能国际
sh601688	华泰证券
sh601398	工商银行
sh601166	兴业银行
sz002304	洋河股份
sh600519	贵州茅台
sz000333	美的集团
sh601336	新华保险
sh601857	中国石油
sz000001	平安银行
sh601318	中国平安
sh600048	保利地产
sh600104	上汽集团
sh600018	上港集团
sh600000	浦发银行
sz002252	上海莱士
sz000166	申万宏源
sz000858	五粮液
